  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
       1	 09:25:38	  -4.994	   0.000	  418.34	 1007.74	   13.21	   -36.3	     9.1	 -1209.8	 -1254.3	  1758.8	   -27.4	   0.000	   1.226	   980.5	    40.0	  454297	  123.02	  123.02	   12.65	   12.16	    0.00	  20.202	  20.930	  46.099	  49.327	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       2	 09:26:27	   7.001	   0.000	  417.67	 1007.80	   13.40	  -173.1	    -6.8	  1515.9	  1477.2	   175.9	   -17.9	   0.000	   1.225	   978.9	    40.0	  453580	  123.04	  123.02	   12.93	   11.30	    0.00	  21.079	  21.552	  46.276	  49.554	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       3	 09:27:08	  14.001	   0.000	  417.65	 1007.83	   13.38	  2273.4	    -9.4	  2083.0	  2053.8	  1185.7	     3.9	   0.000	   1.225	   978.8	    40.0	  453606	  123.03	  123.03	   13.23	   11.84	    0.00	  22.368	  22.735	  46.380	  49.615	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       4	 09:27:37	  12.005	   0.000	  418.79	 1007.80	   13.38	  1362.7	    44.5	  1992.2	  1935.0	   728.7	   -21.3	   0.000	   1.225	   981.5	    40.0	  454225	  123.03	  123.03	   13.17	   12.34	    0.00	  23.315	  23.697	  46.238	  49.492	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       5	 09:28:46	  -4.994	   0.000	  417.74	 1007.80	   13.52	   739.0	     0.8	 -1301.7	 -1340.7	  2288.8	   -25.6	   0.000	   1.225	   979.0	    40.0	  453353	  109.36	  109.37	    7.33	    7.61	    0.00	  24.630	  25.388	  43.722	  47.577	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       6	 09:29:34	   7.001	   0.000	  418.19	 1007.79	   13.62	   665.8	    -5.0	  1382.8	  1343.3	   816.6	   -18.9	   0.000	   1.224	   980.1	    40.0	  453405	  109.36	  109.37	    7.61	    7.67	    0.00	  24.272	  25.298	  43.661	  47.510	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       7	 09:30:01	  12.001	   0.000	  418.28	 1007.83	   13.58	  2068.0	    35.7	  1832.1	  1786.7	  1342.2	   -18.5	   0.000	   1.224	   980.3	    40.0	  453545	  109.35	  109.36	    8.48	    7.29	    0.00	  24.021	  25.140	  43.986	  47.678	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       8	 09:30:28	  14.001	   0.000	  417.78	 1007.83	   13.56	  2969.0	   -26.7	  1918.8	  1905.6	  1790.5	     7.3	   0.000	   1.225	   979.1	    40.0	  453311	  109.36	  109.36	    7.95	    7.90	    0.00	  23.835	  24.990	  44.209	  47.883	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       9	 09:31:22	  -4.994	   0.000	  417.09	 1007.81	   13.62	  2390.3	     4.8	 -1503.6	 -1546.6	  3471.4	   -25.9	   0.000	   1.224	   977.5	    40.0	  452815	   56.19	   56.18	   -0.85	   -0.81	    0.00	  23.257	  24.486	  41.162	  45.568	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      10	 09:32:35	  14.001	   0.000	  417.77	 1007.81	   13.70	  4718.9	    37.0	  1480.9	  1436.5	  3443.2	   -23.9	   0.000	   1.224	   979.1	    40.0	  453024	   56.19	   56.21	   -0.64	   -0.68	    0.00	  21.338	  22.648	  43.035	  46.586	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      11	 09:33:10	   7.006	   0.000	  417.91	 1007.80	   13.68	  2479.3	    24.2	  1004.0	   939.9	  2426.0	   -23.5	   0.000	   1.224	   979.5	    40.0	  453141	   56.19	   56.19	   -0.92	   -0.87	    0.00	  20.467	  21.767	  41.395	  45.509	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      12	 09:33:54	  12.001	   0.000	  418.47	 1007.80	   13.70	  3897.8	    61.9	  1402.3	  1340.3	  2996.8	   -28.0	   0.000	   1.224	   980.8	    40.0	  453401	   56.19	   56.20	   -0.93	   -0.78	    0.00	  19.596	  20.872	  41.888	  46.007	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
