  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
      65	  -4.994	  -0.005	 -0.3301	-0.033382	 0.00065	 0.01354	-0.061993	 -0.3259	0.000651	-0.00252	 0.09503	 0.00101	-0.033382	-0.000651	-0.330094	-0.00270	 0.10046	 0.00079	   -5.24	   -0.15	  -73.21	   -0.86	    4.53	    0.25	  417.93	 1007.36	   13.39	   1.225	   979.5	   39.99	3.525E+5	   0.118
      66	   7.001	  -0.005	  0.9400	-0.011226	 0.00020	-0.11925	-0.125711	  0.9316	0.000205	-0.00289	-0.35215	 0.00043	-0.011226	-0.000205	0.940000	-0.00285	-0.35033	 0.00078	   -0.92	   -0.05	  215.67	   -0.90	  -12.76	    0.25	  418.23	 1007.37	   13.60	   1.224	   980.2	   40.02	3.523E+5	   0.118
      67	  12.001	  -0.005	  1.2586	0.059347	-0.00195	-0.32503	-0.203649	  1.2435	-0.001954	-0.00167	-0.63589	 0.00009	0.059347	0.001954	1.258622	-0.00129	-0.64555	 0.00045	   14.77	    0.44	  286.58	   -0.41	  -23.71	    0.14	  417.88	 1007.35	   13.60	   1.224	   979.4	   40.01	3.521E+5	   0.118
      68	  14.001	  -0.005	  1.3711	0.102105	 0.00157	-0.40267	-0.232656	  1.3551	0.001564	-0.00137	-0.74145	-0.00082	0.102105	-0.001564	1.371138	-0.00180	-0.75806	-0.00050	   24.55	   -0.35	  311.49	   -0.57	  -27.76	   -0.16	  417.60	 1007.37	   13.66	   1.224	   978.7	   40.00	3.519E+5	   0.118
      69	   7.005	  -0.005	  0.9303	0.022799	-0.00002	-0.08655	-0.090834	  0.9261	-0.000018	-0.00307	-0.31808	 0.00043	0.022799	0.000018	0.930303	-0.00299	-0.32179	 0.00081	    6.78	    0.00	  213.14	   -0.95	  -11.67	    0.26	  417.58	 1007.34	   13.72	   1.223	   978.7	   40.00	3.518E+5	   0.118
      70	  14.001	  -0.005	  1.3483	0.129087	 0.00183	-0.35125	-0.200950	  1.3395	0.001818	-0.00128	-0.68612	-0.00079	0.129087	-0.001818	1.348298	-0.00174	-0.70712	-0.00050	   30.64	   -0.41	  306.21	   -0.55	  -25.85	   -0.16	  417.44	 1007.37	   13.74	   1.223	   978.3	   39.99	3.517E+5	   0.118
      71	  -4.994	  -0.005	 -0.3325	0.000248	 0.00071	 0.03562	-0.028697	 -0.3312	0.000711	-0.00260	 0.11843	 0.00099	0.000248	-0.000711	-0.332464	-0.00280	 0.11839	 0.00077	    2.36	   -0.16	  -73.61	   -0.88	    5.19	    0.24	  417.19	 1007.32	   13.86	   1.223	   977.8	   39.99	3.514E+5	   0.118
      72	  12.001	  -0.005	  1.2370	0.088819	-0.00216	-0.27696	-0.170325	  1.2284	-0.002164	-0.00160	-0.58407	 0.00010	0.088819	0.002164	1.236999	-0.00119	-0.59852	 0.00044	   21.40	    0.49	  281.19	   -0.37	  -21.91	    0.14	  417.15	 1007.32	   13.93	   1.222	   977.7	   40.00	3.513E+5	   0.118
      73	   7.005	  -0.005	  0.8908	0.097113	 0.00011	 0.02151	-0.012255	  0.8960	0.000101	-0.00316	-0.20248	 0.00042	0.097113	-0.000101	0.890782	-0.00310	-0.21828	 0.00081	   23.60	   -0.02	  204.35	   -0.98	   -7.82	    0.26	  417.88	 1007.35	   13.88	   1.223	   979.4	   40.03	3.517E+5	   0.118
      74	  12.001	  -0.005	  1.1705	0.163293	-0.00297	-0.13350	-0.083649	  1.1789	-0.002984	-0.00176	-0.42821	 0.00021	0.163293	0.002984	1.170480	-0.00119	-0.45478	 0.00059	   38.20	    0.67	  266.05	   -0.38	  -16.55	    0.19	  416.97	 1007.33	   13.90	   1.223	   977.2	   39.98	3.512E+5	   0.118
      75	  -4.994	  -0.005	 -0.3379	0.072626	 0.00025	 0.10595	0.042930	 -0.3430	0.000248	-0.00293	 0.19169	 0.00105	0.072626	-0.000248	-0.337938	-0.00305	 0.17988	 0.00080	   18.71	   -0.06	  -74.84	   -0.96	    7.48	    0.25	  417.16	 1007.34	   14.02	   1.222	   977.7	   40.00	3.511E+5	   0.118
      76	   0.001	  -0.005	  0.2019	0.066727	 0.00163	 0.07418	0.066724	  0.2019	0.001629	-0.00249	 0.02371	 0.00051	0.066727	-0.001629	0.201879	-0.00276	 0.01286	 0.00051	   17.08	   -0.37	   47.62	   -0.87	    1.07	    0.16	  417.45	 1007.30	   14.12	   1.222	   978.4	   40.02	3.511E+5	   0.118
      77	  14.001	  -0.005	  1.2657	0.199560	-0.00311	-0.19931	-0.112585	  1.2764	-0.003131	-0.00223	-0.51840	-0.00004	0.199560	0.003131	1.265688	-0.00166	-0.55087	 0.00051	   46.48	    0.71	  287.02	   -0.53	  -19.99	    0.16	  416.68	 1007.33	   14.08	   1.222	   976.6	   39.98	3.508E+5	   0.118
      78	  12.005	  -0.005	  1.2387	0.078854	 0.00179	-0.31210	-0.180528	  1.2280	0.001783	-0.00531	-0.61911	-0.00119	0.078854	-0.001783	1.238729	-0.00574	-0.63194	-0.00009	    4.81	   -0.10	   70.71	   -0.46	   -5.82	   -0.01	  105.23	 1007.31	   13.76	   1.223	   245.5	   20.04	1.762E+5	   0.059
      79	  -4.994	  -0.005	 -0.3182	-0.013594	 0.00687	 0.01394	-0.041244	 -0.3158	0.006872	-0.00273	 0.09289	 0.00111	-0.013593	-0.006872	-0.318202	-0.00394	 0.09511	 0.00088	   -0.19	   -0.39	  -17.65	   -0.31	    1.08	    0.07	  105.07	 1007.32	   13.61	   1.224	   245.1	   20.01	1.761E+5	   0.059
      80	  14.001	  -0.005	  1.3458	0.123729	 0.00259	-0.39164	-0.205554	  1.3358	0.002578	-0.00215	-0.72559	-0.00066	0.123729	-0.002578	1.345830	-0.00268	-0.74572	-0.00014	    7.34	   -0.15	   76.23	   -0.21	   -6.81	   -0.01	  104.59	 1007.27	   13.58	   1.224	   244.0	   19.97	1.758E+5	   0.059
