  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
      65	 10:28:22	  -4.994	  -0.005	  417.93	 1007.36	   13.39	  -570.8	    21.2	  -565.7	  -607.8	   -48.9	   -39.1	   0.000	   1.225	   979.5	    40.0	  453626	  123.02	  123.03	   13.09	   12.28	    0.00	  15.570	  15.667	  43.443	  46.785	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      66	 10:29:19	   7.001	  -0.005	  418.23	 1007.37	   13.60	  -105.5	    25.4	  1975.1	  1921.7	  -944.6	   -37.0	   0.000	   1.224	   980.2	    40.0	  453382	  123.03	  123.03	   13.43	   11.94	    0.00	  18.225	  18.004	  43.502	  46.897	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      67	 10:30:03	  12.001	  -0.005	  417.88	 1007.35	   13.60	  1599.2	    42.8	  2427.5	  2377.1	  -321.5	   -20.5	   0.000	   1.224	   979.4	    40.0	  453181	  123.04	  123.04	   13.48	   12.95	    0.00	  20.288	  19.968	  43.414	  46.750	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      68	 10:30:52	  14.001	  -0.005	  417.60	 1007.37	   13.66	  2663.2	   -43.0	  2491.8	  2484.1	   266.2	    25.6	   0.000	   1.224	   978.7	    40.0	  452908	  123.04	  123.04	   14.35	   13.78	    0.00	  22.184	  21.886	  43.467	  46.778	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      69	 10:31:43	   7.005	  -0.005	  417.58	 1007.34	   13.72	   730.7	    29.4	  1814.8	  1756.8	  -236.2	   -38.4	   0.000	   1.223	   978.7	    40.0	  452773	  109.36	  109.37	    8.20	    7.37	    0.00	  23.568	  23.486	  40.838	  44.976	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      70	 10:32:19	  14.001	  -0.005	  417.44	 1007.37	   13.74	  3324.9	   -46.4	  2316.9	  2315.5	   908.1	    25.2	   0.000	   1.223	   978.3	    40.0	  452664	  109.36	  109.36	    8.97	    8.43	    0.00	  23.638	  23.821	  41.362	  45.254	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      71	 10:33:29	  -4.994	  -0.005	  417.19	 1007.32	   13.86	   255.9	    19.3	  -703.1	  -744.8	   619.4	   -38.0	   0.000	   1.223	   977.8	    40.0	  452276	  109.36	  109.37	    8.42	    7.31	    0.00	  23.389	  23.933	  40.660	  44.644	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      72	 10:34:31	  12.001	  -0.005	  417.15	 1007.32	   13.93	  2319.8	    45.1	  2247.6	  2197.8	   355.4	   -20.0	   0.000	   1.222	   977.7	    40.0	  452102	  109.36	  109.36	    8.78	    7.57	    0.00	  22.971	  23.745	  40.962	  44.840	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      73	 10:35:13	   7.005	  -0.005	  417.88	 1007.35	   13.88	  2558.6	    27.9	  1408.4	  1353.4	  1427.0	   -39.3	   0.000	   1.223	   979.4	    40.0	  452613	   56.24	   56.24	   -1.00	   -1.00	    0.00	  22.687	  23.543	  38.612	  42.552	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      74	 10:35:57	  12.001	  -0.005	  416.97	 1007.33	   13.90	  4146.0	    62.4	  1772.0	  1713.8	  2134.1	   -28.0	   0.000	   1.223	   977.2	    40.0	  452071	   56.24	   56.23	   -0.98	   -0.92	    0.00	  21.725	  22.687	  39.266	  43.043	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      75	 10:37:17	  -4.994	  -0.005	  417.16	 1007.34	   14.02	  2032.6	    27.2	 -1010.1	 -1060.6	  2123.2	   -40.3	   0.000	   1.222	   977.7	    40.0	  451943	   56.24	   56.24	   -1.02	   -0.88	    0.00	  19.964	  21.023	  39.286	  43.449	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      76	 10:37:57	   0.001	  -0.005	  417.45	 1007.30	   14.12	  1852.9	    -4.8	   108.6	    80.4	  1464.7	   -25.4	   0.000	   1.222	   978.4	    40.0	  451887	   56.24	   56.24	   -1.01	   -0.91	    0.00	  19.295	  20.341	  39.061	  43.099	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      77	 10:39:12	  14.001	  -0.005	  416.68	 1007.33	   14.08	  5046.7	    61.5	  1845.7	  1776.9	  2647.4	   -24.4	   0.000	   1.222	   976.6	    40.0	  451555	   56.24	   56.22	   -0.60	   -0.75	    0.00	  18.415	  19.342	  41.071	  44.598	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      78	 10:40:15	  12.005	  -0.005	  105.23	 1007.31	   13.76	   514.3	    -9.5	   535.7	   522.5	   252.9	     2.4	   0.000	   1.223	   245.5	    20.0	  226726	   61.51	   61.52	    1.55	    1.60	    0.00	  18.040	  18.934	  48.585	  53.124	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      79	 10:41:10	  -4.994	  -0.005	  105.07	 1007.32	   13.61	   -21.1	   -15.4	  -166.3	  -159.8	    95.1	   -11.4	   0.000	   1.224	   245.1	    20.0	  226706	   61.52	   61.53	    1.57	    1.27	    0.00	  17.974	  18.809	  48.274	  52.723	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
