  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
      33	  -4.995	   0.000	 -0.1930	-0.036840	 0.00044	-0.37851	-0.053505	 -0.1891	0.000440	-0.00219	-0.33124	 0.00094	-0.036840	-0.000440	-0.193024	-0.00233	-0.32525	 0.00076	   -6.03	   -0.10	  -42.24	   -0.74	  -11.38	    0.24	  418.37	 1007.57	   13.28	   1.225	   980.5	   40.00	3.528E+5	   0.118
      34	   7.001	   0.000	  1.0651	0.006708	 0.00031	-0.49297	-0.123152	  1.0579	0.000306	-0.00224	-0.75745	 0.00025	0.006708	-0.000306	1.065064	-0.00224	-0.75854	 0.00053	    3.15	   -0.07	  244.20	   -0.71	  -28.03	    0.17	  418.59	 1007.56	   13.46	   1.225	   981.1	   40.03	3.527E+5	   0.118
      35	  12.001	   0.000	  1.3788	0.090130	-0.00127	-0.74377	-0.198521	  1.3674	-0.001270	-0.00174	-1.08562	-0.00050	0.090130	0.001270	1.378782	-0.00160	-1.10028	-0.00014	   21.72	    0.29	  313.51	   -0.51	  -40.65	   -0.05	  417.55	 1007.55	   13.46	   1.225	   978.6	   39.98	3.522E+5	   0.118
      36	  14.001	   0.000	  1.5026	0.135612	 0.00185	-0.79324	-0.231950	  1.4908	0.001852	-0.00069	-1.16593	-0.00096	0.135612	-0.001852	1.502608	-0.00122	-1.18800	-0.00082	   32.14	   -0.42	  341.36	   -0.39	  -43.82	   -0.26	  417.77	 1007.58	   13.52	   1.224	   979.1	   39.99	3.522E+5	   0.118
      37	  14.001	   0.000	  1.4728	0.161801	 0.00207	-0.72703	-0.199328	  1.4682	0.002070	-0.00054	-1.09408	-0.00092	0.161801	-0.002070	1.472806	-0.00110	-1.12041	-0.00081	   38.06	   -0.47	  334.56	   -0.35	  -41.29	   -0.26	  417.69	 1007.57	   13.58	   1.224	   978.9	   39.99	3.521E+5	   0.118
      38	  12.005	   0.000	  1.3581	0.118165	-0.00231	-0.67331	-0.166892	  1.3529	-0.002314	-0.00153	-1.01154	-0.00022	0.118165	0.002314	1.358059	-0.00117	-1.03077	 0.00010	   28.10	    0.52	  309.29	   -0.37	  -38.11	    0.03	  418.17	 1007.57	   13.62	   1.224	   980.1	   40.02	3.522E+5	   0.118
      39	  -4.995	   0.000	 -0.2039	-0.002688	 0.00035	-0.33019	-0.020426	 -0.2029	0.000355	-0.00228	-0.27948	 0.00096	-0.002688	-0.000355	-0.203863	-0.00241	-0.27904	 0.00076	    1.70	   -0.08	  -44.58	   -0.76	   -9.63	    0.24	  417.32	 1007.52	   13.73	   1.223	   978.1	   39.99	3.517E+5	   0.118
      40	   7.001	   0.000	  1.0460	0.039336	 0.00034	-0.43367	-0.088449	  1.0430	0.000335	-0.00236	-0.69442	 0.00018	0.039336	-0.000335	1.046033	-0.00238	-0.70082	 0.00047	   10.51	   -0.08	  239.17	   -0.75	  -25.80	    0.15	  417.35	 1007.54	   13.80	   1.223	   978.1	   39.99	3.516E+5	   0.118
      41	  14.001	   0.000	  1.3797	0.226659	-0.00195	-0.53353	-0.113864	  1.3935	-0.001950	-0.00169	-0.88191	-0.00003	0.226659	0.001950	1.379669	-0.00132	-0.91878	 0.00039	   52.63	    0.44	  312.95	   -0.42	  -33.70	    0.12	  416.97	 1007.53	   13.76	   1.223	   977.2	   39.97	3.515E+5	   0.118
