  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
       1	  -4.994	   0.000	 -0.4832	-0.011643	 0.00083	 0.46609	-0.053664	 -0.4803	0.000829	-0.00298	 0.58617	 0.00080	-0.011643	-0.000829	-0.483180	-0.00317	 0.58807	 0.00054	   -0.32	   -0.19	 -107.95	   -1.01	   22.75	    0.17	  418.34	 1007.74	   13.21	   1.226	   980.5	   39.99	3.530E+5	   0.118
       2	   7.001	   0.000	  0.8179	-0.013975	 0.00141	 0.25555	-0.113561	  0.8101	0.001414	-0.00293	 0.05303	 0.00003	-0.013975	-0.001414	0.817909	-0.00314	 0.05530	 0.00039	   -1.54	   -0.32	  187.77	   -0.99	    2.39	    0.12	  417.67	 1007.80	   13.40	   1.225	   978.9	   39.97	3.524E+5	   0.118
       3	  14.001	   0.000	  1.2433	0.086239	 0.00036	-0.01728	-0.217116	  1.2272	0.000365	-0.00197	-0.32408	-0.00054	0.086239	-0.000365	1.243271	-0.00211	-0.33812	-0.00006	   20.97	   -0.08	  282.62	   -0.67	  -12.10	   -0.02	  417.65	 1007.83	   13.38	   1.225	   978.8	   39.97	3.524E+5	   0.118
       4	  12.005	   0.000	  1.1321	0.049610	-0.00205	 0.06734	-0.186964	  1.1177	-0.002049	-0.00207	-0.21209	 0.00002	0.049610	0.002049	1.132150	-0.00168	-0.22016	 0.00046	   12.60	    0.46	  258.53	   -0.53	   -7.84	    0.15	  418.79	 1007.80	   13.38	   1.225	   981.5	   40.03	3.529E+5	   0.118
       5	  -4.994	   0.000	 -0.4746	0.019893	 0.00131	 0.45657	-0.021500	 -0.4745	0.001310	-0.00303	 0.57521	 0.00076	0.019893	-0.001310	-0.474617	-0.00330	 0.57197	 0.00050	    6.81	   -0.30	 -105.86	   -1.05	   22.12	    0.16	  417.74	 1007.80	   13.52	   1.225	   979.0	   39.99	3.522E+5	   0.118
       6	   7.001	   0.000	  0.8141	0.020122	 0.00133	 0.26602	-0.079253	  0.8105	0.001327	-0.00299	 0.06340	 0.00003	0.020122	-0.001327	0.814098	-0.00318	 0.06012	 0.00040	    6.18	   -0.30	  187.14	   -1.01	    2.58	    0.13	  418.19	 1007.79	   13.62	   1.224	   980.1	   40.01	3.523E+5	   0.118
       7	  12.001	   0.000	  1.1168	0.078338	-0.00159	 0.09983	-0.155578	  1.1086	-0.001590	-0.00181	-0.17733	 0.00002	0.078338	0.001590	1.116754	-0.00150	-0.19007	 0.00040	   19.09	    0.36	  254.72	   -0.48	   -6.71	    0.13	  418.28	 1007.83	   13.58	   1.224	   980.3	   40.02	3.524E+5	   0.118
       8	  14.001	   0.000	  1.2239	0.114505	 0.00139	 0.01399	-0.185005	  1.2152	0.001387	-0.00181	-0.28982	-0.00057	0.114505	-0.001387	1.223900	-0.00213	-0.30845	-0.00013	   27.37	   -0.31	  278.32	   -0.67	  -10.99	   -0.04	  417.78	 1007.83	   13.56	   1.225	   979.1	   39.99	3.522E+5	   0.118
       9	  -4.994	   0.000	 -0.4573	0.087219	 0.00102	 0.45375	0.047074	 -0.4632	0.001019	-0.00319	 0.56955	 0.00077	0.087219	-0.001019	-0.457346	-0.00341	 0.55536	 0.00050	   22.00	   -0.23	 -101.79	   -1.08	   21.46	    0.16	  417.09	 1007.81	   13.62	   1.224	   977.5	   39.96	3.518E+5	   0.118
