  Run_nr	    Time	   Alpha	    Beta	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6
       /	   H:M:S	 degrees	 degrees	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps
       0	 09:01:00	  12.001	   0.000	 1007.80	   12.18	    -2.0	     0.1	   -65.0	   -57.5	   315.7	     0.0
       0	 09:01:08	  12.001	   0.000	 1007.79	   12.18	    -1.7	     0.3	   -65.0	   -57.5	   316.0	     0.4
       0	 09:01:52	  14.001	   0.000	 1007.83	   12.18	    -0.9	     0.6	   -86.5	   -78.2	   421.8	     0.5
       0	 09:01:59	  14.001	   0.000	 1007.81	   12.18	    -1.2	    -0.1	   -86.5	   -78.4	   422.4	     0.5
       0	 09:02:29	   7.006	   0.000	 1007.83	   12.18	    -0.9	     1.2	   -24.1	   -21.6	   119.9	     0.3
       0	 09:02:38	   7.006	   0.000	 1007.83	   12.18	    -1.1	     1.2	   -24.6	   -21.8	   120.2	    -0.1
       0	 09:02:57	   7.006	   0.000	 1007.84	   12.18	    -0.9	     1.6	   -25.0	   -21.0	   119.0	     0.0
       0	 09:03:34	   0.006	   0.000	 1007.87	   12.18	     3.2	     2.3	    -0.4	    -1.3	     1.5	     0.0
       0	 09:03:40	   0.006	   0.000	 1007.86	   12.18	     3.6	     2.4	    -0.5	    -1.0	     1.5	     0.0
       0	 09:04:11	  -4.994	   0.000	 1007.85	   12.18	     7.9	     3.7	    -7.0	    -9.4	    32.0	     0.0
       0	 09:04:20	  -4.994	   0.000	 1007.87	   12.18	     7.7	     3.8	    -8.0	    -9.1	    32.0	     0.0
       0	 09:07:02	  -4.994	   0.000	 1007.85	   12.46	   -34.4	    31.2	 -1206.1	 -1269.3	  1770.2	   -22.0
       0	 09:07:08	  -4.994	   0.000	 1007.86	   12.48	   -33.6	    21.2	 -1211.6	 -1264.5	  1771.0	   -23.5
       0	 09:08:06	   7.001	   0.000	 1007.83	   12.64	  -164.1	    -5.8	  1520.9	  1489.0	   173.3	   -15.7
       0	 09:08:15	   7.001	   0.000	 1007.84	   12.66	  -164.3	    -4.3	  1521.5	  1488.5	   173.1	   -16.3
       0	 09:09:11	  14.001	   0.000	 1007.86	   12.76	  2291.8	    -3.2	  2090.9	  2058.8	  1188.9	     1.1
       0	 09:09:17	  14.001	   0.000	 1007.84	   12.77	  2285.9	    -1.2	  2092.0	  2059.2	  1184.4	    -0.2
       0	 09:09:52	  12.005	   0.000	 1007.83	   12.82	  1345.1	    47.2	  1998.7	  1944.1	   709.8	   -20.5
       0	 09:10:01	  12.005	   0.000	 1007.83	   12.84	  1369.5	    45.0	  1989.1	  1930.8	   715.3	   -19.6
       0	 09:11:47	  -4.994	   0.000	 1007.81	   13.06	   742.9	     4.7	 -1308.6	 -1346.2	  2302.0	   -25.4
       0	 09:11:54	  -4.994	   0.000	 1007.82	   13.08	   742.3	     3.3	 -1307.9	 -1345.4	  2300.9	   -24.9
       0	 09:12:55	   7.001	   0.000	 1007.83	   13.18	   660.8	     0.9	  1378.0	  1341.0	   819.9	   -21.9
       0	 09:13:04	   7.001	   0.000	 1007.82	   13.18	   662.2	     2.7	  1378.8	  1339.2	   819.5	   -21.9
       0	 09:16:08	  12.001	   0.000	 1007.85	   13.28	  2086.0	    50.0	  1838.2	  1785.7	  1334.9	   -25.8
       0	 09:16:14	  12.001	   0.000	 1007.83	   13.28	  2095.8	    44.7	  1833.1	  1781.4	  1339.4	   -22.6
       0	 09:17:09	  14.001	   0.000	 1007.84	   13.32	  2984.7	    -7.8	  1923.9	  1904.5	  1797.6	    -3.8
       0	 09:17:18	  14.001	   0.000	 1007.84	   13.32	  2987.6	   -11.1	  1921.3	  1900.4	  1792.9	     0.5
       0	 09:21:48	   0.006	   0.000	 1007.79	   13.08	    -3.9	    -1.0	     1.0	     1.0	    -4.0	     0.0
       0	 09:22:32	  12.001	   0.000	 1007.80	   13.08	    -9.1	    -2.5	   -63.8	   -53.6	   311.0	     1.5
       0	 09:22:38	  12.001	   0.000	 1007.80	   13.08	    -9.0	    -2.5	   -63.5	   -53.6	   311.6	     1.4
       0	 09:23:19	  14.001	   0.000	 1007.83	   13.08	    -8.4	    -2.6	   -84.8	   -74.4	   417.7	     1.5
       0	 09:23:46	   7.006	   0.000	 1007.80	   13.08	    -8.2	    -1.7	   -23.3	   -17.9	   115.2	     1.0
       0	 09:24:22	  -4.994	   0.000	 1007.79	   13.06	    -0.1	     0.7	    -5.7	    -5.6	    27.0	    -0.5
