,Unnamed: 0,run,hr,min,sec,AoA,rounded_AoA,AoS,dPb,pBar,temp,B1,B2,B3,B4,B5,B6,rpmWT,rho,q,V,rounded_v,Re,rpsM1,rpsM2,iM1,iM2,dPtQ,pInf,nu,rounded_J,J_M1,J_M2,FX,FY,FZ,MX,MY,MZ,CFX,CFY,CFZ,CMX,CMY,CMZ,CN,CT,CL,CD,CYaw,CMroll,CMpitch,CMpitch25c,CMyaw,delta_e,CL_strut_cor,CD_strut_cor,CMpitch25c_strut_cor,Drag coefficient,Thrust coefficient,CL_thrust_cor,V cor,q cor,CDbcor,CMbcor,CL cor,CLa,CM25ca,dAoA,dCD,dCM25c,AoA cor,CD cor,CM cor,CT cor
0,0,1.0,9.0,25.0,38.0,-4.994,-5,0.0,418.34,100774.0,286.36,-36.3,9.1,-1209.8,-1254.3,1758.8,-27.4,0.0,1.225966469584696,980.4678999495408,39.99377431021692,40,454279.5756552534,123.02,123.02,12.65,12.16,0.0,100774.0,1.452444411971774e-05,1.6,1.5999004671083237,1.5999004671083237,-0.3246083142276416,-0.1885840642753536,-107.95438978847412,-1.0054771668494875,22.751908689209547,0.1720628586144442,-0.0015244986380945,-0.0008856709349486,-0.5069997070175013,-0.003381199442382,0.6476716650937002,0.0005786096997356,-0.5049423348726109,-0.0456537563112372,-0.5069997070175013,-0.0015244986380945,0.0008856709349486,-0.0035666763479188,0.6481013495600308,0.7743369332781835,0.0008868974372613,-15,-0.5297997070175013,-0.0076244986380945,0.7730369332781836,0.05245865741424853,0.06029551512745618,-0.5245446066122152,40.24184107917338,992.3596111576854,0.051830031261669136,0.7637734245053409,-0.5182588479945853,6.560080550415375,-4.408673489061071,-0.0007271533552499076,0.00011812936780287136,0.0057340077832014275,-5.00072715335525,0.05194816062947201,0.7695074322885423,0.05978306832789541
1,1,2.0,9.0,26.0,27.0,7.001,7,0.0,417.67,100780.0,286.54999999999995,-173.1,-6.8,1515.9,1477.2,175.9,-17.9,0.0,1.2252265242090592,978.8854900785872,39.97355269083673,40,453541.67758026,123.04,123.02,12.93,11.3,0.0,100780.0,1.4540719148728096e-05,1.6,1.598831596393527,1.5990915267457286,-1.5351101867440975,-0.3197927790106795,187.76516795230083,-0.9940423309198216,2.3947969084879963,0.1222986194157812,-0.0072211845395476,-0.001504310694823,0.8832505572505521,-0.0033481502856829,0.0682821581160004,0.0004119282899719,0.8757848965954966,-0.1148238097468479,0.8832505572505521,-0.0072211845395476,0.001504310694823,-0.0037942282676808,0.0703174704131822,-0.1486287537356919,-5.360887308847312e-05,-15,0.8771505572505521,-0.0134211845395476,-0.1464287537356919,0.05192378425695454,0.06584127148360532,0.8691265247258851,40.32652707889931,994.9323515022113,0.05108632654507748,-0.1440670636005959,0.8551087345908929,6.560080550415375,-4.408673489061071,0.003635766776249538,0.0029532341950717837,-0.02923343384548862,7.00363576677625,0.05403956074014926,-0.17330049744608453,0.06797293707889877
2,3,4.0,9.0,27.0,37.0,12.005,12,0.0,418.79,100780.0,286.53,1362.7,44.5,1992.2,1935.0,728.7,-21.3,0.0,1.2253120459013225,981.5307358716826,40.026129687893,40,454194.58519857295,123.03,123.03,13.17,12.34,0.0,100780.0,1.453891460829496e-05,1.6,1.6010646564619424,1.6010646564619424,12.595540648775026,0.4648918322291299,258.5304771348596,-0.5329644763706944,-7.8531962878857,0.1465854554543547,0.0590899593449137,0.0021809654886766,1.212854279884025,-0.001790302074218,-0.223312477614866,0.0004924010071688,1.1986190309044815,-0.1944724820687534,1.2128542798840252,0.0590899593449137,-0.0021809654886766,-0.0012522976276722,-0.2399671580535146,-0.539621915779635,0.0002211577162817,-15,1.1959542798840253,0.049989959344913695,-0.537921915779635,0.1098185135357982,0.06126612750132949,1.1832163357253673,40.50414704149759,1006.4284454612284,0.10710174865310766,-0.5246144385304247,1.1539451273832821,3.4216754740043163,-4.476870104634818,0.00438082429917208,0.004287632218626055,-0.032350811698490675,12.004380824299172,0.11138938087173372,-0.5569652502289153,0.06287208894800385
3,2,3.0,9.0,27.0,8.0,14.001,14,0.0,417.65,100783.0,286.53,2273.4,-9.4,2083.0,2053.8,1185.7,3.9,0.0,1.225348520758811,978.8382546016217,39.9705983315717,40,453577.94741920487,123.03,123.03,13.23,11.84,0.0,100783.0,1.4538481829514562e-05,1.6,1.5988433751983104,1.5988433751983104,20.96673303443639,-0.0824400898703017,282.6153958330451,-0.6683842943258074,-12.118078176906156,-0.0189484585771465,0.0986326297780289,-0.0003878183048207,1.3294918030858187,-0.0022513719865107,-0.3455359647063526,-6.382560031751939e-05,1.313857663988279,-0.2259532892183099,1.3294918030858187,0.0986326297780289,0.0003878183048207,-0.0022751055910891,-0.3733358641814568,-0.7018002801785266,-0.0006123658234981,-15,1.2960918030858186,0.0875326297780289,-0.7006002801785266,0.14565995514576974,0.05992178976407408,1.281595410118369,40.62000511355593,1009.4176605313061,0.14124731697797935,-0.6793762208027937,1.2427706225046848,2.5497625168418145,-4.655378661518645,0.004732803959099987,0.005004294804390177,-0.03659597538742084,14.0047328039591,0.14625161178236953,-0.7159721961902146,0.06053155915764914
4,4,5.0,9.0,28.0,46.0,-4.994,-5,0.0,417.74,100780.0,286.67,739.0,0.8,-1301.7,-1340.7,2288.8,-25.6,0.0,1.2247136446510132,979.0508145394946,39.9852979195156,40,453337.3226802247,109.36,109.37,7.33,7.61,0.0,100780.0,1.4551548150687052e-05,1.8,1.7993602865992873,1.7991957661378626,6.808086074824027,-0.2962363473245357,-105.85938423916102,-1.0457711411179025,22.12142558007533,0.1585677842684547,0.032019945319777,-0.0013932655284924,-0.4978802643899918,-0.0035217893472285,0.6306353612102162,0.0005340005202795,-0.4987776028082099,-0.0114427926759729,-0.4978802643899918,0.032019945319777,0.0013932655284924,-0.0038531397751577,0.6216104445767309,0.7463048452787834,0.000867394650707,-15,-0.5206802643899918,0.025919945319776996,0.7450048452787834,0.05245865741424853,0.026622890027079127,-0.5183599266355925,40.25362053424693,991.5055439795838,0.051799701557821924,0.7356465175963577,-0.511848583680395,5.292565157515129,-4.368008001051143,-0.0007271533552499076,0.00011812936780287136,0.005698782235565908,-5.00072715335525,0.0519178309256248,0.7413452998319235,0.02607999766912971
5,5,6.0,9.0,29.0,34.0,7.001,7,0.0,418.19,100779.0,286.77,665.8,-5.0,1382.8,1343.3,816.6,-18.9,0.0,1.2242744247950177,980.1136254735142,40.0141708978296,40,453378.935911482,109.36,109.37,7.61,7.67,0.0,100779.0,1.4560719102782052e-05,1.8,1.8006595864229031,1.8004949471629208,6.182850156030476,-0.3003658119972966,187.13877939327983,-1.007109076873043,2.5722199777892536,0.1271068239290161,0.0290477886257468,-0.0014111554375595,0.8792009462164083,-0.0033879113592448,0.0732490710527347,0.0004275869044529,0.8761861836017093,-0.0783316635680966,0.8792009462164082,0.0290477886257468,0.0014111554375595,-0.0038095411389332,0.0650618656057425,-0.1539846802946847,-3.993344368671364e-05,-15,0.8731009462164082,0.0228477886257468,-0.1517846802946847,0.05192378425695454,0.029299671649027064,0.8695302144705549,40.338487353512,996.771613355648,0.05105603706456106,-0.14924806375066973,0.8549986772741484,6.528935330697124,-4.300357661958725,0.003635766776249538,0.0029532341950717837,-0.028626103494628116,7.00363576677625,0.05400927125963285,-0.17787416724529787,0.03140082029509218
6,6,7.0,9.0,30.0,1.0,12.001,12,0.0,418.28,100783.0,286.73,2068.0,35.7,1832.1,1786.7,1342.2,-18.5,0.0,1.2244938152722846,980.3261899092488,40.014924561252975,40,453517.9373438719,109.35,109.36,8.48,7.29,0.0,100783.0,1.4556530466482244e-05,1.8,1.8008581741632272,1.8006935016893646,19.08462460435236,0.361999739142368,254.6944562312824,-0.4711768845832738,-6.73778055169916,0.1266843150730767,0.0896424665222957,0.0017003504218652,1.1963263485371476,-0.0015846936828543,-0.1918300755875599,0.0004260731805436,1.1888186533242555,-0.1610674191657908,1.1963263485371476,0.0896424665222957,-0.0017003504218652,-0.0011698771043369,-0.2170960708634492,-0.5143007341945132,0.0001735098143168,-15,1.1794263485371477,0.0805424665222957,-0.5126007341945131,0.1098185135357982,0.02994870358462022,1.1731996629370693,40.51139946947756,1005.553344666783,0.10706340496706483,-0.49974069238873914,1.1437666252813614,3.3090369358933,-4.128917835853692,0.00438082429917208,0.004287632218626055,-0.030000655279137447,12.004380824299172,0.1113510371856909,-0.5297413476678766,0.03151546472449624
7,7,8.0,9.0,30.0,28.0,14.001,14,0.0,417.78,100783.0,286.71,2969.0,-26.7,1918.8,1905.6,1790.5,7.3,0.0,1.2245792321614948,979.14528586362,39.989421501483726,40,453285.1073560092,109.36,109.36,7.95,7.9,0.0,100783.0,1.455472522584694e-05,1.8,1.7995458500443045,1.7995458500443045,27.36667317463562,-0.3135074187711352,278.3200324889282,-0.6732334899858697,-11.022259574468467,-0.0430040997475808,0.1286991413652354,-0.0014743529602594,1.308874811983661,-0.0022669948318838,-0.3141911430546615,-0.0001448087080154,1.3011274293362034,-0.191791957762508,1.3088748119836608,0.1286991413652354,0.0014743529602594,-0.0025678163451338,-0.3504653780673303,-0.6757472354013812,-0.0007617611423326,-15,1.2754748119836608,0.11759914136523539,-0.6745472354013812,0.14565995514576974,0.02893695896130817,1.2684743280188513,40.628064572549896,1010.1350082915309,0.14119128359020813,-0.6538529406605633,1.2295590671779064,2.457772417396684,-4.625101568153643,0.004732803959099987,0.005004294804390177,-0.03637946603137011,14.0047328039591,0.14619557839459832,-0.6902324066919334,0.02948897958174758
8,8,9.0,9.0,31.0,22.0,-4.994,-5,0.0,417.09,100781.0,286.77,2390.3,4.8,-1503.6,-1546.6,3471.4,-25.9,0.0,1.2242987210159522,977.5156762764798,39.96070718657001,40,452782.1529720835,56.19,56.18,-0.85,-0.81,0.0,100781.0,1.4560430145159034e-05,3.5,3.4998580451317816,3.500481017371926,21.999776411375148,-0.230595006736574,-101.79649907585645,-1.0774834388411527,21.4731584042244,0.1572363500521499,0.1036323430350175,-0.0010862428959928,-0.4795234967269189,-0.0036342837180518,0.6131159836433915,0.000530348297042,-0.4867244817302228,0.0614957341657531,-0.4795234967269189,0.1036323430350175,0.0010862428959928,-0.0038793182913519,0.5839069001461089,0.7055880205786647,0.0008660351690025,-15,-0.5023234967269189,0.09753234303501751,0.7042880205786647,0.05245865741424853,-0.04526670710585967,-0.5062687502064708,40.26306916533152,990.4156687727137,0.05177539248989119,0.6951147911285386,-0.49967468744610066,5.2159934683609706,-4.166605962636476,-0.0007271533552499076,0.00011812936780287136,0.0054730828777749966,-5.00072715335525,0.05189352185769406,0.7005878740063136,-0.04583400138843015
9,10,11.0,9.0,33.0,10.0,7.006,7,0.0,417.91,100780.0,286.83,2479.3,24.2,1004.0,939.9,2426.0,-23.5,0.0,1.2240304727961018,979.4523186896898,40.00465525970596,40,453107.0501855664,56.19,56.19,-0.92,-0.87,0.0,100780.0,1.4565991510642724e-05,3.5,3.5037071265961,3.5037071265961,22.86749282108032,0.1160827788541602,178.7198160639112,-1.020667461025635,5.858593831998956,0.1538472338742386,0.1075068244559898,0.0005457393613843,0.8402145369726625,-0.0034358399611785,0.166947735446551,0.0005178909823682,0.847053937935793,0.0042203876910026,0.8402145369726625,0.1075068244559898,-0.0005457393613843,-0.0033206849695284,0.1366466178601076,-0.0751168666238406,0.000108989245332,-15,0.8341145369726625,0.1013068244559898,-0.0729168666238406,0.05192378425695454,-0.04971552566858335,0.8401733354429345,40.34889031356955,996.6129045791918,0.051029713394179915,-0.07166131780770307,0.8257064680978586,6.328228871570079,-3.7275912568283793,0.003635766776249538,0.0029532341950717837,-0.02541607159526108,7.00363576677625,0.0539829475892517,-0.09707738940296415,-0.04764089837906938
